1965	57.9	64.9	68.1	57.9	62.9
1966	57.5	65.4	68.8	60.3	63.5
1967	58.4	64.7	67.7	61.2	63.3
1968	59.5	65	67.7	60.5	63.6
1969	58.8	65.2	69.2	61.7	64.1
1970	58.5	66	70	60.4	64.3
1971	58.4	66.2	69.4	59.3	64
1972	58.4	66.8	68.8	60.7	64.3
1973	58.9	67.3	70.6	59.8	64.9
1974	59	66.8	69.9	61.2	64.8
1975	59.4	65.8	69.4	60.9	64.4
1976	59.4	66.1	70	60.9	64.6
1977	60.2	67.2	69	60.1	64.8
1978	60.3	67.5	69.4	59.2	64.8
1979	60.9	68.4	69.1	59.9	65.3
1980	60.7	69.1	69.6	59.4	65.5
1981	60.2	69.1	70.1	59.8	65.6
1982	60.7	67.1	69.5	59.3	64.8
1983	61.6	66.7	69.6	58.4	64.7
1984	61.1	67.2	69	58.3	64.6
1985	60.8	66.7	67.3	59	64.1
1986	61	66.4	66.5	57.7	63.6
1987	61.3	66.5	66.8	58.1	63.8
1988	61.5	65.5	67.2	58.7	63.7
1989	61.2	66.2	67.8	58.2	63.9
1990	62.2	66.3	67.2	58.3	64
1991	62	65.9	67.1	58.5	63.9
1992	62.3	65.8	67.5	58.7	64
1993	62.6	65.8	66.9	59.8	64.2
1994	61.7	65.6	66.8	59.5	63.8
1995	61.9	66.1	67.9	58.9	64.2
1996	61.4	67.5	70.4	58.9	65.1
1997	61.6	67.8	70.6	59	65.4
1998	62.4	68.2	70.6	60.1	65.9
1999	62.7	69.2	71.2	61	66.7
2000	63.3	69.5	72.2	61.3	67.1
2001	63.6	69.3	73.2	62	67.5
2002	63.9	69.9	73.1	62.2	67.8
2003	64.2	69.9	72.9	62.8	68
2004	65.1	70.3	73.5	63.7	68.6
2005	65.4	71.1	73.1	64.9	69.1
2006	64.7	70.4	72.5	64.4	68.5
2007	64.8	70.6	72.2	63.6	68.4
2008	64.7	69.7	72	62.8	67.8
2009	63.7	69.6	70.7	62.8	67.3
2010	64.4	69.2	70.9	61.9	67.1
2011	63.9	68.4	70.4	60.9	66.4
2012	62.5	67.5	69.5	59.9	65.4
2013	62.5	66.5	70	59.4	65
2014	62.4	66.5	69.3	59.4	64.8